epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.3779,1.76132,0.8357,0.98262,0.63633,0.000193487,0.000193487,0.000193487
2,21.1273,0.5033,0.90521,0.9921,0.29093,0.000385631,0.000385631,0.000385631
3,30.7145,0.26876,0.94471,0.99526,0.18587,0.000573895,0.000573895,0.000573895
4,40.1092,0.22317,0.94787,0.99684,0.15948,0.000570536,0.000570536,0.000570536
5,49.6574,0.18801,0.94471,0.99526,0.20572,0.000564715,0.000564715,0.000564715
6,59.1881,0.16263,0.96524,0.99526,0.1324,0.000558894,0.000558894,0.000558894
7,68.8343,0.14939,0.96051,0.99684,0.10847,0.000553073,0.000553073,0.000553073
8,78.3894,0.11567,0.95735,0.99684,0.13892,0.000547252,0.000547252,0.000547252
9,88.0303,0.10426,0.97472,0.99684,0.11766,0.00054143,0.00054143,0.00054143
10,97.581,0.11759,0.96524,0.99684,0.13063,0.000535609,0.000535609,0.000535609
11,107.093,0.07607,0.96998,0.99684,0.10252,0.000529788,0.000529788,0.000529788
12,116.889,0.06054,0.97314,0.99684,0.10621,0.000523967,0.000523967,0.000523967
13,126.829,0.05894,0.96682,0.99684,0.10843,0.000518146,0.000518146,0.000518146
14,136.961,0.09008,0.97788,0.99684,0.08444,0.000512324,0.000512324,0.000512324
15,146.771,0.07851,0.97472,0.99684,0.08747,0.000506503,0.000506503,0.000506503
16,157.052,0.05671,0.9763,0.99684,0.08159,0.000500682,0.000500682,0.000500682
17,166.725,0.04666,0.97156,0.99684,0.097,0.000494861,0.000494861,0.000494861
18,176.758,0.05924,0.95735,0.99684,0.18017,0.00048904,0.00048904,0.00048904
19,186.613,0.07291,0.97472,0.99684,0.11778,0.000483218,0.000483218,0.000483218
20,196.282,0.04396,0.96998,0.99684,0.11512,0.000477397,0.000477397,0.000477397
21,206.078,0.05903,0.95577,0.99526,0.15833,0.000471576,0.000471576,0.000471576
22,215.615,0.03812,0.97788,0.99684,0.09209,0.000465755,0.000465755,0.000465755
23,225.065,0.03114,0.97788,0.99684,0.10903,0.000459934,0.000459934,0.000459934
24,234.438,0.04226,0.97314,0.99684,0.13146,0.000454112,0.000454112,0.000454112
