epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.6617,0.73309,0.70714,0.91667,1.27727,0.000184791,0.000184791,0.000184791
2,133.227,0.18861,0.70714,0.90476,1.18133,0.000362796,0.000362796,0.000362796
3,200.868,0.19648,0.6619,0.8881,1.50373,0.000533462,0.000533462,0.000533462
4,270.841,0.16833,0.72857,0.95476,1.28831,0.000522974,0.000522974,0.000522974
5,336.948,0.17853,0.67381,0.95952,1.35434,0.000511965,0.000511965,0.000511965
6,401.66,0.15535,0.68095,0.95,1.36908,0.000500956,0.000500956,0.000500956
7,466.099,0.14143,0.64286,0.90952,2.26317,0.000489947,0.000489947,0.000489947
8,530.519,0.13735,0.70238,0.95238,1.67909,0.000478938,0.000478938,0.000478938
9,595.242,0.10771,0.71667,0.94524,1.53995,0.00046793,0.00046793,0.00046793
10,659.37,0.13423,0.6619,0.95238,1.76573,0.000456921,0.000456921,0.000456921
11,723.641,0.112,0.6881,0.95238,2.00234,0.000445912,0.000445912,0.000445912
12,788.132,0.10696,0.70476,0.86429,1.90368,0.000434903,0.000434903,0.000434903
13,852.636,0.1014,0.7119,0.95476,1.51604,0.000423894,0.000423894,0.000423894
14,916.981,0.09472,0.67857,0.94762,1.75987,0.000412886,0.000412886,0.000412886
15,981.263,0.08164,0.74048,0.87381,1.46276,0.000401877,0.000401877,0.000401877
16,1045.98,0.07013,0.75238,0.92381,1.56801,0.000390868,0.000390868,0.000390868
17,1110.24,0.0957,0.72381,0.93095,1.34992,0.000379859,0.000379859,0.000379859
18,1174.82,0.07786,0.70238,0.94762,1.59708,0.00036885,0.00036885,0.00036885
19,1238.95,0.077,0.65,0.95,2.10591,0.000357842,0.000357842,0.000357842
20,1303.38,0.06965,0.62619,0.9619,1.84599,0.000346833,0.000346833,0.000346833
21,1367.89,0.07534,0.77381,0.95238,1.71592,0.000335824,0.000335824,0.000335824
22,1432.17,0.07328,0.69524,0.92143,1.9313,0.000324815,0.000324815,0.000324815
23,1496.46,0.05544,0.66905,0.94286,1.45888,0.000313806,0.000313806,0.000313806
24,1560.89,0.06435,0.74048,0.95714,1.33139,0.000302798,0.000302798,0.000302798
25,1625.25,0.05047,0.72143,0.95238,1.55618,0.000291789,0.000291789,0.000291789
26,1689.57,0.04918,0.73095,0.95238,1.35498,0.00028078,0.00028078,0.00028078
27,1754.26,0.0546,0.70476,0.92857,1.72846,0.000269771,0.000269771,0.000269771
28,1818.37,0.04498,0.7619,0.94048,1.69994,0.000258762,0.000258762,0.000258762
29,1882.73,0.0478,0.68333,0.94762,2.22779,0.000247754,0.000247754,0.000247754
30,1947.17,0.04754,0.7119,0.90238,2.12244,0.000236745,0.000236745,0.000236745
31,2011.51,0.04403,0.71667,0.95476,2.43515,0.000225736,0.000225736,0.000225736
32,2076.17,0.03852,0.69524,0.93333,2.22942,0.000214727,0.000214727,0.000214727
33,2143.78,0.03725,0.71429,0.95,2.09333,0.000203718,0.000203718,0.000203718
34,2209.62,0.04471,0.72143,0.94286,1.89471,0.00019271,0.00019271,0.00019271
35,2274.03,0.03736,0.7,0.9619,1.9581,0.000181701,0.000181701,0.000181701
