epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,86.7739,0.11986,0.92052,0.99445,0.42929,0.000184886,0.000184886,0.000184886
2,170.152,0.10857,0.78004,0.99445,0.68283,0.000366554,0.000366554,0.000366554
3,251.195,0.12769,0.89279,0.99261,0.38279,0.000544552,0.000544552,0.000544552
4,340.134,0.17008,0.80407,0.9963,1.12191,0.000539487,0.000539487,0.000539487
5,419.45,0.12069,0.83734,0.99445,0.86646,0.000533982,0.000533982,0.000533982
6,501.114,0.1015,0.69316,0.99076,1.28309,0.000528478,0.000528478,0.000528478
7,585.016,0.10614,0.68946,0.99445,2.25049,0.000522974,0.000522974,0.000522974
8,666.53,0.09791,0.67837,0.9963,1.79654,0.000517469,0.000517469,0.000517469
9,749.256,0.09242,0.66174,0.99815,2.4386,0.000511965,0.000511965,0.000511965
10,831.523,0.09011,0.62107,0.99445,2.45273,0.00050646,0.00050646,0.00050646
11,911.797,0.09576,0.61553,0.9963,3.11466,0.000500956,0.000500956,0.000500956
