epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.3179,3.08435,0.03697,0.13124,113.713,0.0943254,0.0442046,0.0442046
2,157.004,3.00126,0.0573,0.43253,2.77752,0.0851698,0.085049,0.085049
3,234.018,2.35929,0.22736,0.48983,2.82445,0.0816804,0.0816804,0.0816804
4,311.593,2.16398,0.22736,0.43253,3.61816,0.078209,0.078209,0.078209
5,388.435,2.04819,0.22736,0.43253,3.07077,0.0747376,0.0747376,0.0747376
6,465.835,1.96202,0.22736,0.38447,3.28941,0.0712662,0.0712662,0.0712662
7,543.192,1.92442,0.22736,0.36784,3.35265,0.0677947,0.0677947,0.0677947
8,620.241,1.8629,0.22736,0.56562,3.14528,0.0643233,0.0643233,0.0643233
9,697.756,1.80976,0.22736,0.35675,3.0899,0.0608519,0.0608519,0.0608519
10,774.849,1.801,0.22736,0.35675,2.97142,0.0573805,0.0573805,0.0573805
11,859.222,1.72371,0.22736,0.58595,3.08829,0.0539091,0.0539091,0.0539091
12,936.132,1.69403,0.22736,0.5915,3.03338,0.0504376,0.0504376,0.0504376
13,1013.1,1.6758,0.22736,0.41959,3.08743,0.0469662,0.0469662,0.0469662
14,1090.62,1.6444,0.22736,0.45656,3.16613,0.0434948,0.0434948,0.0434948
15,1173.61,1.62738,0.22736,0.32348,3.37839,0.0400234,0.0400234,0.0400234
16,1281.68,1.59673,0.22736,0.4085,3.03889,0.0365519,0.0365519,0.0365519
17,1358.88,1.56229,0.22736,0.39926,3.20554,0.0330805,0.0330805,0.0330805
18,1436.08,1.52567,0.22736,0.45841,3.28114,0.0296091,0.0296091,0.0296091
19,1512.34,1.50449,0.22736,0.47874,3.2045,0.0261377,0.0261377,0.0261377
20,1589.32,1.47167,0.22736,0.44732,3.54182,0.0226663,0.0226663,0.0226663
